artifact_prefix,split,fold,horizon,target_date,target_day_name,daily_wape,total_abs_error,target_total_customers,mean_signed_error,promo_rate_target,schoolholiday_rate_target,stateholiday_code
lightgbm,test,,1,2015-06-07,Sunday,4.764805899542152,2166.080761931862,45460.0,19.881471351038456,0.0,0.0,0
lightgbm,test,,1,2015-06-08,Monday,6.130706480036418,50306.79947029964,820571.0,13.335007276360491,0.0,0.0,0
lightgbm,test,,1,2015-06-09,Tuesday,5.950388991482749,45933.968315861166,771949.0,-5.279640553534489,0.0,0.0,0
lightgbm,test,,1,2015-06-10,Wednesday,6.673147728243353,49605.17729528338,743355.0,-31.994561133401366,0.0,0.0,0
lightgbm,test,,1,2015-06-11,Thursday,6.055829119875297,45815.92023103735,756559.0,-26.25639716224254,0.0,0.0,0
lightgbm,test,,1,2015-06-12,Friday,10.86899974695273,82154.63886731185,755862.0,-68.21289298042919,0.0,0.0,0
lightgbm,test,,1,2015-06-13,Saturday,9.34235079522279,65052.376786771485,696317.0,-36.62543969700898,0.0,0.0,0
lightgbm,test,,1,2015-06-14,Sunday,4.41599794204507,1999.1664283432237,45271.0,39.520166417572135,0.0,0.0,0
lightgbm,test,,1,2015-06-15,Monday,5.675242516558809,59331.19861268724,1045439.0,5.054975208933032,1.0,0.0,0
lightgbm,test,,1,2015-06-16,Tuesday,4.733732430563785,43865.93630233251,926667.0,4.7090844406547046,1.0,0.0,0
lightgbm,test,,1,2015-06-17,Wednesday,5.827049941610219,50021.78578925818,858441.0,-31.746336212926185,1.0,0.0,0
lightgbm,test,,1,2015-06-18,Thursday,8.337524281202098,69158.09640771516,829480.0,-57.068211167158225,1.0,0.0,0
lightgbm,test,,1,2015-06-19,Friday,9.180090984119843,78917.11114953544,859655.0,-68.5443172040713,1.0,0.0,0
lightgbm,test,,1,2015-06-20,Saturday,7.980535249374523,55126.74431534192,690765.0,-25.30376632371955,0.0,0.0,0
lightgbm,test,,1,2015-06-21,Sunday,4.740293976883459,1997.5124789189206,42139.0,-11.88034992989467,0.0,0.0,0
lightgbm,test,,1,2015-06-22,Monday,10.67318598637616,79418.64326532568,744095.0,-67.45623798644388,0.0,0.0,0
lightgbm,test,,1,2015-06-23,Tuesday,6.779832689864297,49070.25946277703,723768.0,-28.4571125294937,0.0,0.0,0
lightgbm,test,,1,2015-06-24,Wednesday,5.0068189874163735,36156.64318124759,722148.0,-1.5195124366617039,0.0,0.0,0
lightgbm,test,,1,2015-06-25,Thursday,5.374722534166907,38863.43620560339,723078.0,-7.846181354107839,0.0,0.0,0
lightgbm,test,,1,2015-06-26,Friday,9.000513120187344,67597.00371219902,751035.0,-50.95011748742666,0.0,0.0,0
lightgbm,test,,1,2015-06-27,Saturday,7.547814249196379,52032.59352411255,689373.0,-17.348943863019915,0.0,0.0,0
lightgbm,test,,1,2015-06-28,Sunday,5.770305075620237,2563.2849206920214,44422.0,56.90085319365242,0.0,0.0,0
lightgbm,test,,1,2015-06-29,Monday,11.909572517963387,123277.77156931671,1035115.0,-106.78127648903866,1.0,0.25727272727272726,0
lightgbm,test,,1,2015-06-30,Tuesday,8.939524967459606,90806.80066695793,1015790.0,68.37656032943691,1.0,0.25727272727272726,0
lightgbm,test,,1,2015-07-01,Wednesday,7.820223026593778,69042.79404603982,882875.0,31.299604596947027,1.0,0.25727272727272726,0
lightgbm,test,,1,2015-07-02,Thursday,8.211593210148516,70089.31480183374,853541.0,-36.19417345359926,1.0,0.2575068243858053,0
lightgbm,test,,1,2015-07-03,Friday,5.770634952833002,49848.24508765921,863826.0,-3.9139958990343158,1.0,0.2575068243858053,0
lightgbm,test,,1,2015-07-04,Saturday,11.354763421837282,74900.10724527057,659636.0,-40.3279395516177,0.0,0.0,0
lightgbm,test,,1,2015-07-05,Sunday,7.2503789652516275,3462.56348243522,47757.0,41.740110115543864,0.0,0.0,0
lightgbm,test,,1,2015-07-06,Monday,5.656268121531165,47342.455113084914,836991.0,27.113765778324748,0.0,0.2575068243858053,0
lightgbm,test,,1,2015-07-07,Tuesday,6.8987432361496275,50652.987399943224,734235.0,19.659451760804288,0.0,0.2575068243858053,0
lightgbm,test,,1,2015-07-08,Wednesday,8.157463321796945,62110.191560462976,761391.0,49.788875248062475,0.0,0.2575068243858053,0
lightgbm,test,,1,2015-07-09,Thursday,6.077762581251284,47022.85898200562,773687.0,27.04473028307974,0.0,0.2575068243858053,0
