artifact_prefix,split,fold,horizon,issue_start,issue_end,target_date,target_day_name,target_month,target_year,open_store_count,open_row_count,target_total_customers,mean_target_customers,total_abs_error,mae,rmse,mean_signed_error,daily_wape,promo_rate_target,schoolholiday_rate_target,stateholiday_rate_target,stateholiday_code,has_promo_heavy_target,has_schoolholiday_signal,has_stateholiday_signal,daily_wape_rank,daily_wape_p90_cutoff,is_top_decile_spike
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-29,Monday,6,2015,1100,1100,1035115.0,941.0136363636364,123277.77156931671,112.07070142665155,132.72070067501613,-106.78127648903866,11.909572517963387,1.0,0.25727272727272726,0.0,0,1,1,0,1,9.326124814112495,1
lightgbm,test,,1,2015-06-06,2015-07-17,2015-07-04,Saturday,7,2015,1099,1099,659636.0,600.2147406733394,74900.10724527057,68.15296382645184,106.31401260781794,-40.3279395516177,11.354763421837282,0.0,0.0,0.0,0,0,0,0,2,9.326124814112495,1
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-12,Friday,6,2015,1099,1099,755862.0,687.7725204731574,82154.63886731185,74.7539935098379,89.74097855179349,-68.21289298042919,10.86899974695273,0.0,0.0,0.0,0,0,0,0,3,9.326124814112495,1
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-22,Monday,6,2015,1099,1099,744095.0,677.0655141037307,79418.64326532568,72.26446156990508,93.46234577580233,-67.45623798644388,10.67318598637616,0.0,0.0,0.0,0,0,0,0,4,9.326124814112495,1
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-13,Saturday,6,2015,1099,1099,696317.0,633.5914467697908,65052.376786771485,59.192335565761134,83.54726516450536,-36.62543969700898,9.34235079522279,0.0,0.0,0.0,0,0,0,0,5,9.326124814112495,1
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-19,Friday,6,2015,1099,1099,859655.0,782.2156505914468,78917.11114953544,71.80810841631978,91.57885809834066,-68.5443172040713,9.180090984119843,1.0,0.0,0.0,0,1,0,0,6,9.326124814112495,0
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-26,Friday,6,2015,1100,1100,751035.0,682.7590909090909,67597.00371219902,61.45182155654456,82.03144335268193,-50.95011748742666,9.000513120187344,0.0,0.0,0.0,0,0,0,0,7,9.326124814112495,0
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-30,Tuesday,6,2015,1100,1100,1015790.0,923.4454545454546,90806.80066695793,82.55163696996176,116.50052811117585,68.37656032943691,8.939524967459606,1.0,0.25727272727272726,0.0,0,1,1,0,8,9.326124814112495,0
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-18,Thursday,6,2015,1099,1099,829480.0,754.7588717015468,69158.09640771516,62.928204192643456,81.95950440951667,-57.068211167158225,8.337524281202098,1.0,0.0,0.0,0,1,0,0,9,9.326124814112495,0
lightgbm,test,,1,2015-06-06,2015-07-17,2015-07-02,Thursday,7,2015,1099,1099,853541.0,776.6524112829845,70089.31480183374,63.77553667136828,96.95676290813269,-36.19417345359926,8.211593210148516,1.0,0.2575068243858053,0.0,0,1,1,0,10,9.326124814112495,0
lightgbm,test,,1,2015-06-06,2015-07-17,2015-07-08,Wednesday,7,2015,1099,1099,761391.0,692.803457688808,62110.191560462976,56.51518795310553,72.77635918707948,49.788875248062475,8.157463321796945,0.0,0.2575068243858053,0.0,0,0,1,0,11,9.326124814112495,0
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-20,Saturday,6,2015,1099,1099,690765.0,628.5395814376706,55126.74431534192,50.16082285290439,69.43353925548342,-25.30376632371955,7.980535249374523,0.0,0.0,0.0,0,0,0,0,12,9.326124814112495,0
lightgbm,test,,1,2015-06-06,2015-07-17,2015-07-01,Wednesday,7,2015,1100,1100,882875.0,802.6136363636364,69042.79404603982,62.76617640549075,96.34882069759394,31.299604596947027,7.820223026593778,1.0,0.25727272727272726,0.0,0,1,1,0,13,9.326124814112495,0
lightgbm,test,,1,2015-06-06,2015-07-17,2015-06-27,Saturday,6,2015,1100,1100,689373.0,626.7027272727273,52032.59352411255,47.30235774919323,70.00947905618814,-17.348943863019915,7.547814249196379,0.0,0.0,0.0,0,0,0,0,14,9.326124814112495,0
lightgbm,test,,1,2015-06-06,2015-07-17,2015-07-05,Sunday,7,2015,33,33,47757.0,1447.1818181818182,3462.56348243522,104.9261661344006,156.41329453646875,41.740110115543864,7.2503789652516275,0.0,0.0,0.0,0,0,0,0,15,9.326124814112495,0
lightgbm,test,,7,2015-06-06,2015-07-17,2015-06-19,Friday,6,2015,1099,1099,859655.0,782.2156505914468,109859.36179211615,99.9630225587954,127.58730016494542,-97.48574433415848,12.779471042699239,1.0,0.0,0.0,0,1,0,0,1,9.882292757991937,1
lightgbm,test,,7,2015-06-06,2015-07-17,2015-06-30,Tuesday,6,2015,1100,1100,1015790.0,923.4454545454546,115147.17710030201,104.67925190936546,139.12534918901346,98.67558936583654,11.335726587218028,1.0,0.25727272727272726,0.0,0,1,1,0,2,9.882292757991937,1
lightgbm,test,,7,2015-06-06,2015-07-17,2015-07-04,Saturday,7,2015,1099,1099,659636.0,600.2147406733394,74756.66427935967,68.02244247439461,106.893906948256,-40.591995568667656,11.333017645998652,0.0,0.0,0.0,0,0,0,0,3,9.882292757991937,1
lightgbm,test,,7,2015-06-06,2015-07-17,2015-06-13,Saturday,6,2015,1099,1099,696317.0,633.5914467697908,72523.78494070175,65.99070513257666,89.42177694237074,-53.32315413138139,10.415340274717083,0.0,0.0,0.0,0,0,0,0,4,9.882292757991937,1
lightgbm,test,,7,2015-06-06,2015-07-17,2015-07-05,Sunday,7,2015,33,33,47757.0,1447.1818181818182,4787.534652575479,145.0768076538024,217.45215849367395,82.39595242705995,10.024780979909709,0.0,0.0,0.0,0,0,0,0,5,9.882292757991937,1
lightgbm,test,,7,2015-06-06,2015-07-17,2015-07-02,Thursday,7,2015,1099,1099,853541.0,776.6524112829845,73403.66188133968,66.79132109312073,94.55048347795088,-38.828384043553505,8.599898760732017,1.0,0.2575068243858053,0.0,0,1,1,0,6,9.882292757991937,0
lightgbm,test,,7,2015-06-06,2015-07-17,2015-06-18,Thursday,6,2015,1099,1099,829480.0,754.7588717015468,69913.87853472559,63.615904035237115,90.07199179898893,-50.829468781341404,8.428639452997732,1.0,0.0,0.0,0,1,0,0,7,9.882292757991937,0
lightgbm,test,,7,2015-06-06,2015-07-17,2015-07-22,Wednesday,7,2015,1098,1098,701078.0,638.5045537340619,57503.635394223864,52.37125263590516,69.32611635929055,-38.33679054653704,8.202173708806134,0.0,0.6165755919854281,0.0,0,0,1,0,8,9.882292757991937,0
lightgbm,test,,7,2015-06-06,2015-07-17,2015-07-19,Sunday,7,2015,32,32,48005.0,1500.15625,3901.892003721862,121.93412511630818,186.43143243422278,99.3765878890491,8.128094997858268,0.0,0.0,0.0,0,0,0,0,9,9.882292757991937,0
lightgbm,test,,7,2015-06-06,2015-07-17,2015-06-17,Wednesday,6,2015,1099,1099,858441.0,781.1110100090992,68698.8561343272,62.51033315225405,77.15807915314188,-54.349604794108295,8.002746389597794,1.0,0.0,0.0,0,1,0,0,10,9.882292757991937,0
lightgbm,test,,7,2015-06-06,2015-07-17,2015-06-22,Monday,6,2015,1099,1099,744095.0,677.0655141037307,59373.15816441684,54.02471170556582,78.69468313346829,-36.86927208757166,7.9792443390181145,0.0,0.0,0.0,0,0,0,0,11,9.882292757991937,0
lightgbm,test,,7,2015-06-06,2015-07-17,2015-07-06,Monday,7,2015,1099,1099,836991.0,761.5932666060055,65641.14444557946,59.72806591954455,87.76563666095943,49.415491525398814,7.8425149667773555,0.0,0.2575068243858053,0.0,0,0,1,0,12,9.882292757991937,0
lightgbm,test,,7,2015-06-06,2015-07-17,2015-07-11,Saturday,7,2015,1098,1098,680679.0,619.9262295081967,52210.268738559666,47.55033582746782,72.71326182239297,-20.511213605483185,7.67032165507672,0.0,0.0,0.0,0,0,0,0,13,9.882292757991937,0
lightgbm,test,,7,2015-06-06,2015-07-17,2015-06-20,Saturday,6,2015,1099,1099,690765.0,628.5395814376706,52057.997946226686,47.36851496471946,69.09991019300385,-20.51660508797099,7.536281940490136,0.0,0.0,0.0,0,0,0,0,14,9.882292757991937,0
