artifact_prefix,split,horizon,day_count,mean_daily_wape,median_daily_wape,p90_daily_wape,max_daily_wape,mean_abs_bias,top_spike_target_date,top_spike_daily_wape
lightgbm,test,1,42,6.925003461616972,6.206478464487944,9.326124814112495,11.909572517963387,29.790141209996484,2015-06-29,11.909572517963387
lightgbm,test,7,42,7.062634926392356,6.624035786345273,9.882292757991937,12.779471042699239,28.699297855214954,2015-06-19,12.779471042699239
lightgbm,test,14,42,7.598077566004148,7.0208558544844895,10.057479298263102,18.071820413223936,31.579826209986734,2015-06-22,18.071820413223936
lightgbm,val,1,126,5.794101204482497,5.392939518984589,7.467913789272584,13.660410885930308,16.68728188694109,2015-02-16,13.660410885930308
lightgbm,val,7,126,7.031768232484306,6.492101094544276,10.098273045688956,15.486980784730111,26.416249375895916,2014-12-24,15.486980784730111
lightgbm,val,14,126,7.084739449793759,6.2451343278974445,9.726333755964081,18.581635563543582,24.18652947608141,2015-05-14,18.581635563543582
