feature,weight,abs_weight
cat__StateHoliday_c,-0.22211352521667765,0.22211352521667765
cat__StateHoliday_0,0.21896884220634785,0.21896884220634785
cat__StateHoliday_a,0.11557940436004904,0.11557940436004904
cat__StateHoliday_b,-0.1124347213496983,0.1124347213496983
num__lag7,0.10368958497511038,0.10368958497511038
cat__Assortment_b,0.09241835973486129,0.09241835973486129
num__Promo,0.09238025711756169,0.09238025711756169
num__roll14_mean,-0.09165757388709549,0.09165757388709549
num__DayOfWeek,-0.085954745287968,0.085954745287968
num__lag14,0.0841400189620707,0.0841400189620707
cat__Assortment_a,-0.0813943917133371,0.0813943917133371
num__dow_sin,-0.07597921503140012,0.07597921503140012
num__Promo2,-0.06100259656165628,0.06100259656165628
num__month_sin,0.050072991121718126,0.050072991121718126
num__CompetitionDistance,-0.0493879867078658,0.0493879867078658
"cat__PromoInterval_Mar,Jun,Sept,Dec",-0.03757176151383606,0.03757176151383606
num__weekofyear,0.03677874860201844,0.03677874860201844
cat__PromoInterval_Unknown,0.03050110284672471,0.03050110284672471
num__dow_cos,0.02484257209641374,0.02484257209641374
num__month,0.02309071517867159,0.02309071517867159
num__lag1,0.019007217417409995,0.019007217417409995
"cat__PromoInterval_Jan,Apr,Jul,Oct",0.01665280715460858,0.01665280715460858
num__is_weekend,-0.015620382691367483,0.015620382691367483
cat__Assortment_c,-0.011023968020727715,0.011023968020727715
"cat__PromoInterval_Feb,May,Aug,Nov",-0.009582148425063938,0.009582148425063938
num__SchoolHoliday,0.005267156921927705,0.005267156921927705
num__year,0.00515822726153992,0.00515822726153992
num__roll7_mean,-0.0034133104034753444,0.0034133104034753444
num__roll28_mean,-0.003161198670927897,0.003161198670927897
num__month_cos,-0.002695592011249403,0.002695592011249403
