feature,importance
num__weekofyear,4004
num__lag7,3423
num__DayOfWeek,3259
num__lag14,2130
num__roll28_mean,2007
num__roll7_mean,1860
num__roll14_mean,1762
num__Promo,1481
num__lag1,1460
num__dow_sin,1191
num__CompetitionDistance,1057
num__month,1017
num__year,974
num__dow_cos,781
num__SchoolHoliday,766
num__month_sin,493
num__month_cos,416
num__is_weekend,301
cat__StateHoliday_0,122
cat__Assortment_a,122
num__Promo2,96
"cat__PromoInterval_Jan,Apr,Jul,Oct",94
cat__Assortment_c,57
"cat__PromoInterval_Feb,May,Aug,Nov",52
"cat__PromoInterval_Mar,Jun,Sept,Dec",41
cat__Assortment_b,40
cat__StateHoliday_a,23
cat__PromoInterval_Unknown,22
cat__StateHoliday_b,14
cat__StateHoliday_c,2
