feature,weight,abs_weight
cat__StateHoliday_0,0.2104301557814711,0.2104301557814711
cat__StateHoliday_c,-0.19846535408217225,0.19846535408217225
cat__StateHoliday_b,-0.12647209343023247,0.12647209343023247
cat__StateHoliday_a,0.11450729169812661,0.11450729169812661
num__lag14,0.10304151884812339,0.10304151884812339
cat__Assortment_b,0.09593263650530404,0.09593263650530404
num__Promo,0.09267576670592735,0.09267576670592735
num__roll14_mean,-0.09168385438438556,0.09168385438438556
num__DayOfWeek,-0.09124277963011887,0.09124277963011887
num__lag7,0.08924566893513723,0.08924566893513723
cat__Assortment_a,-0.08394618602617408,0.08394618602617408
num__dow_sin,-0.07886034057966446,0.07886034057966446
num__Promo2,-0.061574895638325716,0.061574895638325716
num__month_sin,0.05083710927446894,0.05083710927446894
num__CompetitionDistance,-0.04988781255655065,0.04988781255655065
num__weekofyear,0.041346086966335835,0.041346086966335835
"cat__PromoInterval_Mar,Jun,Sept,Dec",-0.03796175417809239,0.03796175417809239
cat__PromoInterval_Unknown,0.030787249733508652,0.030787249733508652
num__dow_cos,0.02565395593716672,0.02565395593716672
num__lag1,0.023135162296399222,0.023135162296399222
num__month,0.019512000572103776,0.019512000572103776
"cat__PromoInterval_Jan,Apr,Jul,Oct",0.01702180101812495,0.01702180101812495
num__is_weekend,-0.01336930407306198,0.01336930407306198
cat__Assortment_c,-0.011986450534307918,0.011986450534307918
"cat__PromoInterval_Feb,May,Aug,Nov",-0.00984729654520979,0.00984729654520979
num__roll7_mean,-0.00955855432686355,0.00955855432686355
num__roll28_mean,-0.009310298718735534,0.009310298718735534
num__SchoolHoliday,0.006247847538907195,0.006247847538907195
num__year,0.0037477019772100494,0.0037477019772100494
num__month_cos,-0.0009839207649458995,0.0009839207649458995
