feature,importance
num__DayOfWeek,7955
num__weekofyear,5304
num__lag1,4967
num__roll28_mean,4900
num__roll7_mean,4729
num__roll14_mean,4305
num__lag14,3622
num__lag7,3113
num__Promo,2823
num__CompetitionDistance,2568
num__dow_sin,2212
num__dow_cos,1711
num__month,1596
num__month_cos,1363
num__year,1246
num__SchoolHoliday,1139
num__month_sin,973
num__is_weekend,773
cat__Assortment_a,246
num__Promo2,221
"cat__PromoInterval_Jan,Apr,Jul,Oct",203
cat__StateHoliday_0,148
cat__Assortment_c,133
"cat__PromoInterval_Mar,Jun,Sept,Dec",109
"cat__PromoInterval_Feb,May,Aug,Nov",98
cat__Assortment_b,69
cat__PromoInterval_Unknown,59
cat__StateHoliday_a,25
cat__StateHoliday_c,14
cat__StateHoliday_b,9
