model,horizon,seed,status,error,test_macro_wape,test_macro_mae,test_macro_rmse,test_macro_bias,test_macro_wape_p90,n_stores,train_time_seconds
autogluon,1,0,ok,,7.9821306040132,57.78328700914937,74.33752137874878,-10.600410779537908,9.885736733106167,1100,1205.2150695323944
autogluon,7,0,ok,,6.9361575996243,49.95383535998845,64.7237127296958,-1.273990366004795,8.764242283412699,1100,1201.5719351768494
autogluon,14,0,ok,,7.075806497606177,51.7719661179228,66.57053236221509,7.9485143318220866,9.033871757595971,1100,1213.2025046348572
autogluon,1,42,ok,,8.093723596210276,58.53017173837318,75.84029976314972,-8.344070813610998,10.18840572787256,1100,1200.8819270133972
autogluon,7,42,ok,,7.108811344829529,50.96570341259023,65.91618843968924,-6.750668114186313,8.840607915127366,1100,1200.7855021953585
autogluon,14,42,ok,,7.175902285635268,52.25115774470969,67.33088387073718,3.2023230787600765,9.19941733428872,1100,1201.2414746284485
autogluon,1,123,ok,,8.159136028519507,58.99327372453768,76.55685961779575,-7.077144235253344,10.263221840668107,1100,1201.3826122283936
autogluon,7,123,ok,,6.82553087781359,49.13272717573784,63.46640633767817,2.260854363242016,8.618531382486188,1100,1201.5365588665009
autogluon,14,123,ok,,7.167787626605271,52.4205606631084,67.45056112672405,8.09721588414243,9.18918938117252,1100,1202.5428185462952
autogluon_quick,1,0,ok,,7.577923452932056,54.62014727347324,69.40174970444359,-14.061316811843335,9.610770233179135,1100,302.62780833244324
autogluon_quick,7,0,ok,,6.690942908455309,48.54856849238626,62.56741156780441,1.7472070325597029,8.52894161498378,1100,302.49801683425903
autogluon_quick,14,0,ok,,7.168310739564344,52.49897895373774,67.07012761568915,6.074363207123838,9.155636081753457,1100,302.5027484893799
autogluon_quick,1,42,ok,,7.527025654817365,54.2991983441093,69.04180164429938,-13.934343659864464,9.587690213320592,1100,302.5699441432953
autogluon_quick,7,42,ok,,6.790728929818276,49.30389112886082,63.8458796181144,1.3813168438177417,8.636378554887365,1100,302.4783978462219
autogluon_quick,14,42,ok,,7.170187982648116,52.54426769484524,67.09926278755891,6.281082550493368,9.174035129458758,1100,302.5524334907532
autogluon_quick,1,123,ok,,7.585929721798341,54.64891064011341,69.51260070370213,-14.03419142357197,9.714708793053475,1100,302.5178623199463
autogluon_quick,7,123,ok,,6.720731913815636,48.829684259422194,62.974967623069865,1.911439106559444,8.580721781402106,1100,302.5977478027344
autogluon_quick,14,123,ok,,7.142332768805162,52.33768568547836,66.60933416896506,5.497865130314704,9.074624118609588,1100,301.9778242111206
flaml,1,0,ok,,7.353934711803097,52.975337422838464,67.80094652682918,-9.949779204853542,9.0931296235343,1100,1544.0716242790222
flaml,7,0,ok,,8.041968512516664,56.5372504183022,71.42794427919739,-19.639780578412733,10.12782278083877,1100,1259.2354323863983
flaml,14,0,ok,,7.748905973510399,55.97500308729224,71.41981160148211,-9.572902533615768,9.908002827796887,1100,1270.8253524303436
flaml,1,42,ok,,8.452072482736321,61.87497167140017,78.54679242820227,-3.1192952797955384,10.701130143514861,1100,1280.6235604286194
flaml,7,42,ok,,9.018503420042647,64.8309548984764,82.35350422214044,-12.191345813270376,10.92075899013346,1100,1287.9524383544922
flaml,14,42,ok,,6.969688944034126,50.77907539446618,65.08845530780341,-2.1067039398162946,9.010112623816738,1100,1465.2268843650818
flaml,1,123,ok,,7.290041682511157,53.01276351204754,68.22704697629014,-10.518606839222537,9.117740527747234,1100,1457.4064519405365
flaml,7,123,ok,,7.28911475767194,51.67584989461778,65.89856384459698,-15.411055941487092,9.294547261820503,1100,1524.383260011673
flaml,14,123,ok,,6.93536853961713,50.4862826661535,64.93691758120731,-2.88699449787386,9.040535168999638,1100,1491.096838235855
flaml_quick,1,0,ok,,8.258330575508166,58.89446775454134,75.89081723309873,-18.015249001478185,10.579419569691428,1100,310.6361529827118
flaml_quick,7,0,ok,,9.4905134404518,66.54643365695281,86.08823026826813,-14.361009629332312,12.28648400842684,1100,307.72889018058777
flaml_quick,14,0,ok,,7.607047827095691,55.43399473584995,71.73466224227712,-3.5649775613231576,9.676079634503813,1100,347.8334696292877
flaml_quick,1,42,ok,,8.643550075844578,63.1131721407009,79.58239627906698,-6.763853780093249,11.89926127758486,1100,346.8268928527832
flaml_quick,7,42,ok,,7.252644115942855,51.795321977409486,67.01914789984177,-9.342264464572397,9.23553002504618,1100,365.7270691394806
flaml_quick,14,42,ok,,7.212913043406723,52.48878550700561,67.50162480600578,-1.651912107574197,9.220892030222792,1100,411.1965126991272
flaml_quick,1,123,ok,,7.5004564182167615,54.306158298952525,69.51014949871552,-11.12209971726356,9.387569323169584,1100,331.920392036438
flaml_quick,7,123,ok,,7.22314183343232,51.72774838235794,66.48455390471375,-12.925316813724416,9.266722225635016,1100,389.0472242832184
flaml_quick,14,123,ok,,7.418925023022404,54.80201461649781,69.1126225730806,-12.933374654195685,9.51701034283598,1100,426.4300949573517
last_value,1,0,ok,,28.51640323159906,203.31615978086427,348.58348031529545,83.44625541125541,34.22421062506068,1100,0.0
last_value,7,0,ok,,17.97279572651761,127.06522025307481,155.37356491047154,-2.3351515151515154,24.32355519850548,1100,0.0
last_value,14,0,ok,,8.719417019105702,63.849085343579475,81.7647520721302,-4.831558441558442,11.252256162191934,1100,0.0
last_value,1,42,ok,,28.51640323159906,203.31615978086427,348.58348031529545,83.44625541125541,34.22421062506068,1100,0.0
last_value,7,42,ok,,17.97279572651761,127.06522025307481,155.37356491047154,-2.3351515151515154,24.32355519850548,1100,0.0
last_value,14,42,ok,,8.719417019105702,63.849085343579475,81.7647520721302,-4.831558441558442,11.252256162191934,1100,0.0
last_value,1,123,ok,,28.51640323159906,203.31615978086427,348.58348031529545,83.44625541125541,34.22421062506068,1100,0.0
last_value,7,123,ok,,17.97279572651761,127.06522025307481,155.37356491047154,-2.3351515151515154,24.32355519850548,1100,0.0
last_value,14,123,ok,,8.719417019105702,63.849085343579475,81.7647520721302,-4.831558441558442,11.252256162191934,1100,0.0
lightgbm,1,0,ok,,7.329553048107653,52.72781573065997,67.13937758650559,-8.572042679363351,9.184805571642851,1100,15.722962617874146
lightgbm,7,0,ok,,6.866458605321299,49.82705309999184,63.835838003733926,-4.5607599476653,8.86000484792994,1100,12.002625465393066
lightgbm,14,0,ok,,7.418790270088018,54.055105543680696,69.25936913115976,-1.7387473382656742,9.587862312859944,1100,15.681312322616575
lightgbm,1,42,ok,,7.343486448894828,52.87004361407808,67.28615395894448,-9.93846307806701,9.141278146846464,1100,17.43961763381958
lightgbm,7,42,ok,,7.087498690563063,51.36137437166762,66.03261969186475,-7.786560547466672,8.992580283730907,1100,10.96814775466919
lightgbm,14,42,ok,,7.624479721176054,55.36642510711426,71.09494432587658,-4.979290794621996,9.860605339912826,1100,8.60400128364563
lightgbm,1,123,ok,,7.419368425933454,53.52561413627114,68.16648840502444,-9.14106877854209,9.268645814016692,1100,10.960994958877563
lightgbm,7,123,ok,,7.069433636564573,51.282224551086586,65.84571205056457,-6.9494205071767325,9.065111804856334,1100,9.502036571502686
lightgbm,14,123,ok,,7.553701321492316,54.87931651395153,70.32843289644227,-7.75096636901872,9.83728830809087,1100,12.562482833862305
linear_regression,1,0,ok,,11.119586405437119,80.90367510265199,101.6537808183637,3.4246120748561566,16.93673857045186,1100,2.5911965370178223
linear_regression,7,0,ok,,10.7715557281671,79.07796732535687,98.63561850565398,-7.455812431371431,15.231503531435113,1100,2.655616283416748
linear_regression,14,0,ok,,10.54431482977138,77.65641422108554,95.88020479399167,-6.949344382763998,15.005569287500759,1100,2.6756672859191895
linear_regression,1,42,ok,,11.119586405437119,80.90367510265199,101.6537808183637,3.4246120748561566,16.93673857045186,1100,2.4675071239471436
