artifact_prefix,split,horizon,day_count,mean_daily_wape,median_daily_wape,p90_daily_wape,max_daily_wape,mean_abs_bias,top_spike_target_date,top_spike_daily_wape
flaml,test,1,42,7.3274621381846305,6.708176388433932,10.082989040411121,13.967591984922551,34.12535158598502,2015-06-22,13.967591984922551
flaml,test,7,42,7.659135858674512,7.359329289650285,10.180348120793708,13.277998242652043,35.531211653756436,2015-07-04,13.277998242652043
flaml,test,14,42,7.271756855576321,6.650144875242528,10.17010374941649,14.578247412733733,29.57327867524619,2015-06-22,14.578247412733733
flaml,val,1,126,5.4874698723998065,5.0887660416909135,6.925120417925964,19.065771000038907,17.45811273972646,2015-04-05,19.065771000038907
flaml,val,7,126,6.37640740237322,5.795805700862601,8.629843999815927,23.546122286208654,24.35553325023098,2015-04-05,23.546122286208654
flaml,val,14,126,6.00574014415479,5.4247515409137925,7.87117226558485,14.270534749437317,17.401136032432866,2014-12-24,14.270534749437317
