artifact_prefix,split,fold,horizon,target_date,target_day_name,daily_wape,total_abs_error,target_total_customers,mean_signed_error,promo_rate_target,schoolholiday_rate_target,stateholiday_code
flaml,test,,1,2015-06-07,Sunday,5.984479062015282,2720.544181592147,45460.0,-9.74212094304036,0.0,0.0,0
flaml,test,,1,2015-06-08,Monday,7.5552867724662285,61996.49222169386,820571.0,-42.69206923458165,0.0,0.0,0
flaml,test,,1,2015-06-09,Tuesday,6.639966760749373,51257.15700993718,771949.0,-29.955374919636835,0.0,0.0,0
flaml,test,,1,2015-06-10,Wednesday,6.810192819657765,50623.90883456698,743355.0,-31.510830645901958,0.0,0.0,0
flaml,test,,1,2015-06-11,Thursday,6.42331206586382,48596.14553237866,756559.0,-26.869085438906847,0.0,0.0,0
flaml,test,,1,2015-06-12,Friday,7.813178741382673,59056.8490981899,755862.0,-37.30794922106838,0.0,0.0,0
flaml,test,,1,2015-06-13,Saturday,10.183141414361861,70906.94480224208,696317.0,-52.323202210911454,0.0,0.0,0
flaml,test,,1,2015-06-14,Sunday,7.150386749948373,3237.051585569128,45271.0,65.14463678673779,0.0,0.0,0
flaml,test,,1,2015-06-15,Monday,5.4276443330913295,56742.71063942667,1045439.0,-3.337373200297741,1.0,0.0,0
flaml,test,,1,2015-06-16,Tuesday,4.650653369549542,43096.07006000366,926667.0,16.76899499602534,1.0,0.0,0
flaml,test,,1,2015-06-17,Wednesday,4.315857307470903,37049.0886288263,858441.0,9.967856336043202,1.0,0.0,0
flaml,test,,1,2015-06-18,Thursday,5.279616254943086,43793.36091150191,829480.0,-19.31137931820749,1.0,0.0,0
flaml,test,,1,2015-06-19,Friday,7.1707776719356575,61643.94879567848,859655.0,-47.78071155974683,1.0,0.0,0
flaml,test,,1,2015-06-20,Saturday,8.868502402400916,61260.51061994469,690765.0,-43.57060996554459,0.0,0.0,0
flaml,test,,1,2015-06-21,Sunday,7.52859262908714,3172.47364797103,42139.0,-57.80833396942528,0.0,0.0,0
flaml,test,,1,2015-06-22,Monday,13.967591984922551,103932.15358020944,744095.0,-92.5690384717984,0.0,0.0,0
flaml,test,,1,2015-06-23,Tuesday,6.776386016118491,49045.31354114048,723768.0,-30.57128364899974,0.0,0.0,0
flaml,test,,1,2015-06-24,Wednesday,5.76850155039597,41657.118576153494,722148.0,-13.210352452863654,0.0,0.0,0
flaml,test,,1,2015-06-25,Thursday,6.001502280843639,43395.542662278574,723078.0,-13.33037583920911,0.0,0.0,0
flaml,test,,1,2015-06-26,Friday,10.244696485824191,76941.25625230971,751035.0,-60.705577349925775,0.0,0.0,0
flaml,test,,1,2015-06-27,Saturday,7.814339947012659,53869.949722919584,689373.0,-33.422533432207764,0.0,0.0,0
flaml,test,,1,2015-06-28,Sunday,6.051609264128701,2688.2458673112515,44422.0,19.366919496913333,0.0,0.0,0
flaml,test,,1,2015-06-29,Monday,12.817549513433946,132676.3776459818,1035115.0,-117.2196865745318,1.0,0.25727272727272726,0
flaml,test,,1,2015-06-30,Tuesday,6.062004556362775,61577.236083077434,1015790.0,11.169503388025674,1.0,0.25727272727272726,0
flaml,test,,1,2015-07-01,Wednesday,9.06129076801089,79999.87086807615,882875.0,49.08734853276522,1.0,0.25727272727272726,0
flaml,test,,1,2015-07-02,Thursday,7.087860776350877,60497.79774907303,853541.0,-14.623716027219938,1.0,0.2575068243858053,0
flaml,test,,1,2015-07-03,Friday,5.886273168939404,50847.158064322495,863826.0,13.451329647105831,1.0,0.2575068243858053,0
flaml,test,,1,2015-07-04,Saturday,12.55573182338067,82822.12717047532,659636.0,-57.17745203245977,0.0,0.0,0
flaml,test,,1,2015-07-05,Sunday,8.685533946965297,4147.950447052216,47757.0,-29.626724523659494,0.0,0.0,0
flaml,test,,1,2015-07-06,Monday,6.071929132461939,50821.50036508451,836991.0,23.591812385097306,0.0,0.2575068243858053,0
flaml,test,,1,2015-07-07,Tuesday,6.382159297842434,46860.04732051339,734235.0,12.753194258281983,0.0,0.2575068243858053,0
flaml,test,,1,2015-07-08,Wednesday,7.585412563937874,57754.64857469222,761391.0,42.871044433535026,0.0,0.2575068243858053,0
flaml,test,,1,2015-07-09,Thursday,7.699110741599478,59567.01892335875,773687.0,43.945223045140445,0.0,0.2575068243858053,0
flaml,test,,1,2015-07-10,Friday,5.5833946751298384,44025.79285470654,788513.0,23.850313917616994,0.0,0.2575068243858053,0
flaml,test,,1,2015-07-11,Saturday,6.047711860704872,41165.504616327315,680679.0,-7.338720674907373,0.0,0.0,0
flaml,test,,1,2015-07-12,Sunday,5.8493464601509695,2655.135345191728,45392.0,-32.168266365458116,0.0,0.0,0
flaml,test,,1,2015-07-13,Monday,5.918443913538833,58691.31438851228,991668.0,-7.4926191553559365,1.0,0.40528233151183973,0
flaml,test,,1,2015-07-14,Tuesday,6.514899092571796,58651.61691170518,900269.0,38.36581076041821,1.0,0.40528233151183973,0
flaml,test,,1,2015-07-15,Wednesday,9.181617674854483,79770.90433707998,868811.0,67.00619717593086,1.0,0.40528233151183973,0
flaml,test,,1,2015-07-16,Thursday,8.579900321549463,73568.95590014837,857457.0,51.074486406713454,1.0,0.5132178669097539,0
flaml,test,,1,2015-07-17,Friday,5.806824694084537,47795.62564752818,823094.0,21.12390411429773,1.0,0.5132178669097539,0
flaml,test,,1,2015-07-18,Saturday,5.950198937713988,41096.59601504546,690676.0,12.060803754856249,0.0,0.0,0
flaml,test,,7,2015-06-13,Saturday,11.887642453296541,82775.67530152088,696317.0,-68.45541594426992,0.0,0.0,0
flaml,test,,7,2015-06-14,Sunday,7.655410846941568,3465.6810445189176,45271.0,-67.20301748152825,0.0,0.0,0
flaml,test,,7,2015-06-15,Monday,6.006098701469482,62790.098203655536,1045439.0,16.589582566008556,1.0,0.0,0
flaml,test,,7,2015-06-16,Tuesday,4.760547849517214,44114.42594068568,926667.0,2.969575406259988,1.0,0.0,0
flaml,test,,7,2015-06-17,Wednesday,7.7970540117149225,66933.1084287057,858441.0,-51.971851070340634,1.0,0.0,0
flaml,test,,7,2015-06-18,Thursday,10.233092935811882,84881.4592839724,829480.0,-71.53250856917148,1.0,0.0,0
flaml,test,,7,2015-06-19,Friday,9.537801923807903,81992.19112811083,859655.0,-70.17670948668454,1.0,0.0,0
flaml,test,,7,2015-06-20,Saturday,8.807616856235951,60839.93457697827,690765.0,-41.4002768724967,0.0,0.0,0
flaml,test,,7,2015-06-21,Sunday,8.756001027723482,3689.691273072398,42139.0,-97.58455971880761,0.0,0.0,0
flaml,test,,7,2015-06-22,Monday,6.52042063352812,48518.123913051066,744095.0,-15.221411468594857,0.0,0.0,0
flaml,test,,7,2015-06-23,Tuesday,5.793630295531615,41932.44211736326,723768.0,1.5993024299554797,0.0,0.0,0
flaml,test,,7,2015-06-24,Wednesday,8.970603589253473,64781.03440772217,722148.0,-52.41097309071095,0.0,0.0,0
flaml,test,,7,2015-06-25,Thursday,11.150046990416026,80623.5367773604,723078.0,-69.6645777212842,0.0,0.0,0
flaml,test,,7,2015-06-26,Friday,8.16774189235107,61342.60032121886,751035.0,-48.00264280476151,0.0,0.0,0
flaml,test,,7,2015-06-27,Saturday,6.549922765084334,45153.39906334483,689373.0,-16.490949106354826,0.0,0.0,0
flaml,test,,7,2015-06-28,Sunday,5.54847553014772,2464.7438000022203,44422.0,-17.63680965601721,0.0,0.0,0
flaml,test,,7,2015-06-29,Monday,6.126231466814101,63413.54084771278,1035115.0,8.722499325962094,1.0,0.25727272727272726,0
flaml,test,,7,2015-06-30,Tuesday,11.511896561265766,116936.69407968153,1015790.0,100.7481414779342,1.0,0.25727272727272726,0
flaml,test,,7,2015-07-01,Wednesday,7.85200033009931,69323.34791436428,882875.0,-13.047789304037384,1.0,0.25727272727272726,0
