artifact_prefix,split,fold,horizon,issue_start,issue_end,target_date,target_day_name,target_month,target_year,open_store_count,open_row_count,target_total_customers,mean_target_customers,total_abs_error,mae,rmse,mean_signed_error,daily_wape,promo_rate_target,schoolholiday_rate_target,stateholiday_rate_target,stateholiday_code,has_promo_heavy_target,has_schoolholiday_signal,has_stateholiday_signal,daily_wape_rank,daily_wape_p90_cutoff,is_top_decile_spike
flaml,test,,14,2015-06-06,2015-07-17,2015-07-25,Saturday,7,2015,1098,1098,634961.0,578.2887067395264,64947.860916968166,59.1510573014282,86.02164044134437,-10.354442525313225,10.228637808773794,0.0,0.020036429872495445,0.0,0,0,1,0,5,10.17010374941649,1
flaml,test,,14,2015-06-06,2015-07-17,2015-06-20,Saturday,6,2015,1099,1099,690765.0,628.5395814376706,66612.52200858158,60.61193995321345,79.57626030687192,-52.27978018919195,9.643297215200768,0.0,0.0,0.0,0,0,0,0,6,10.17010374941649,0
flaml,test,,14,2015-06-06,2015-07-17,2015-07-20,Monday,7,2015,1098,1098,811906.0,739.4408014571949,73666.4666613332,67.09149969156029,88.82122018482988,61.214885277578006,9.073275312823553,0.0,0.6165755919854281,0.0,0,0,1,0,7,10.17010374941649,0
flaml,test,,14,2015-06-06,2015-07-17,2015-07-22,Wednesday,7,2015,1098,1098,701078.0,638.5045537340619,61216.10082712812,55.7523686950165,71.00809998678488,-47.0538862019046,8.731710426960783,0.0,0.6165755919854281,0.0,0,0,1,0,8,10.17010374941649,0
flaml,test,,14,2015-06-06,2015-07-17,2015-07-26,Sunday,7,2015,32,32,46990.0,1468.4375,4101.380869025996,128.16815215706237,163.5464868514283,-33.30346456815859,8.728199338212377,0.0,0.03125,0.0,0,0,1,0,9,10.17010374941649,0
flaml,test,,14,2015-06-06,2015-07-17,2015-06-21,Sunday,6,2015,32,32,42139.0,1316.84375,3658.1073728838514,114.31585540262036,148.5809100106687,-86.6536019151024,8.681049319831633,0.0,0.0,0.0,0,0,0,0,10,10.17010374941649,0
flaml,test,,14,2015-06-06,2015-07-17,2015-07-06,Monday,7,2015,1099,1099,836991.0,761.5932666060055,72634.82600736282,66.09174340979328,93.62937984561393,58.74246996136036,8.678089251540676,0.0,0.2575068243858053,0.0,0,0,1,0,11,10.17010374941649,0
flaml,test,,14,2015-06-06,2015-07-17,2015-06-26,Friday,6,2015,1100,1100,751035.0,682.7590909090909,63944.924609564405,58.13174964505855,78.73366823442144,-45.68417755900857,8.51424029633298,0.0,0.0,0.0,0,0,0,0,12,10.17010374941649,0
flaml,test,,14,2015-06-06,2015-07-17,2015-07-05,Sunday,7,2015,33,33,47757.0,1447.1818181818182,3683.3722542839814,111.61734103890853,160.00559288658263,32.51700385950429,7.712737932206758,0.0,0.0,0.0,0,0,0,0,13,10.17010374941649,0
flaml,test,,14,2015-06-06,2015-07-17,2015-07-01,Wednesday,7,2015,1100,1100,882875.0,802.6136363636364,66163.33790742057,60.148489006745976,94.05837480946523,16.272047863540173,7.4940776335744665,1.0,0.25727272727272726,0.0,0,1,1,0,14,10.17010374941649,0
flaml,test,,14,2015-06-06,2015-07-17,2015-06-27,Saturday,6,2015,1100,1100,689373.0,626.7027272727273,50788.851808469204,46.17168346224473,67.2407384248143,-25.198302437024125,7.367397883071894,0.0,0.0,0.0,0,0,0,0,15,10.17010374941649,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-12-07,Sunday,12,2014,16,16,34630.0,2164.375,2567.308597332194,160.45678733326213,192.42991929100987,-91.45335652555757,7.413539120220023,0.0,0.0,0.0,0,0,0,0,1,6.545713568223836,1
flaml,val,1,1,2014-11-08,2014-12-19,2014-12-12,Friday,12,2014,922,922,703697.0,763.2288503253797,48094.146028462834,52.162848187052965,75.87940325314,-10.82489674527494,6.834496385299757,0.0,0.0,0.0,0,0,0,0,2,6.545713568223836,1
flaml,val,1,1,2014-11-08,2014-12-19,2014-12-06,Saturday,12,2014,922,922,712997.0,773.3156182212581,48568.697280777385,52.67754585767612,82.5489362088755,0.6266476716534458,6.811907663114624,0.0,0.0,0.0,0,0,0,0,3,6.545713568223836,1
flaml,val,1,1,2014-11-08,2014-12-19,2014-12-13,Saturday,12,2014,922,922,722840.0,783.9913232104121,48631.967033859386,52.74616814952211,76.64471595217647,28.47248000529407,6.72790203002869,0.0,0.0,0.0,0,0,0,0,4,6.545713568223836,1
flaml,val,1,1,2014-11-08,2014-12-19,2014-11-29,Saturday,11,2014,922,922,758510.0,822.6789587852495,50010.08158826361,54.24086940158743,81.24598378878756,-3.5608085780737984,6.593200035367182,0.0,0.0,0.0,0,0,0,0,5,6.545713568223836,1
flaml,val,1,1,2014-11-08,2014-12-19,2014-12-20,Saturday,12,2014,922,922,806180.0,874.3817787418656,49324.79603696101,53.49760958455641,76.49158640062693,-15.15672886037463,6.1183353639337374,0.0,0.0,0.0,0,0,0,0,6,6.545713568223836,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-12-05,Friday,12,2014,922,922,949824.0,1030.177874186551,55760.77296179662,60.478061780690474,83.71811748779434,36.75420204008879,5.870642662408679,1.0,0.0,0.0,0,1,0,0,7,6.545713568223836,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-11-30,Sunday,11,2014,17,17,38606.0,2270.9411764705883,2234.148858991574,131.4205211171514,157.98864079646074,-40.83039395391394,5.78705087030921,0.0,0.0,0.0,0,0,0,0,8,6.545713568223836,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-11-22,Saturday,11,2014,922,922,621298.0,673.8590021691974,33878.36295389788,36.7444283664836,59.323417629264256,7.6743155333672775,5.452836312670873,0.0,0.0,0.0,0,0,0,0,9,6.545713568223836,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-12-11,Thursday,12,2014,922,922,685954.0,743.9848156182212,35832.82562669358,38.86423603762861,56.672223271267676,-1.2940370731811262,5.223794252485383,0.0,0.0,0.0,0,0,0,0,10,6.545713568223836,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-12-08,Monday,12,2014,922,922,746708.0,809.8785249457701,38886.838554977745,42.17661448479148,60.32243570976807,12.53022595508287,5.207770447749019,0.0,0.0,0.0,0,0,0,0,11,6.545713568223836,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-11-23,Sunday,11,2014,16,16,35099.0,2193.6875,1827.8505840998196,114.24066150623872,138.46916386537586,99.1850645287486,5.207699889170118,0.0,0.0,0.0,0,0,0,0,12,6.545713568223836,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-11-18,Tuesday,11,2014,922,922,640280.0,694.4468546637744,33270.23413764898,36.08485264387091,50.033105780668635,-5.614584796087455,5.196200746181199,0.0,0.0,0.0,0,0,0,0,13,6.545713568223836,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-11-16,Sunday,11,2014,16,16,35060.0,2191.25,1814.88788128971,113.43049258060688,149.61613017738898,76.39519170804766,5.176519912406475,0.0,0.0,0.0,0,0,0,0,14,6.545713568223836,0
flaml,val,1,1,2014-11-08,2014-12-19,2014-12-15,Monday,12,2014,922,922,1040114.0,1128.1062906724512,53717.461635077496,58.261888975138284,77.79800785891895,14.926003615546623,5.164574425022401,1.0,0.0,0.0,0,1,0,0,15,6.545713568223836,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-24,Wednesday,12,2014,922,922,493225.0,534.9511930585684,70748.191593469,76.73339652220065,100.05285237121966,0.12759939384485422,14.34399951208252,0.0,1.0,0.0,0,0,1,0,1,8.56783005169308,1
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-22,Monday,12,2014,922,922,1113787.0,1208.0119305856833,99238.23801415283,107.63366378975361,147.3053502961124,8.800418970715823,8.909983507991459,0.0,1.0,0.0,0,0,1,0,2,8.56783005169308,1
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-07,Sunday,12,2014,16,16,34630.0,2164.375,3011.2433320296136,188.20270825185085,240.9255733412266,-160.33423058991806,8.69547598044936,0.0,0.0,0.0,0,0,0,0,3,8.56783005169308,1
flaml,val,1,7,2014-11-08,2014-12-19,2014-11-16,Sunday,11,2014,16,16,35060.0,2191.25,3033.4895164960776,189.59309478100485,270.5888649949045,49.3682720223105,8.652280423548424,0.0,0.0,0.0,0,0,0,0,4,8.56783005169308,1
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-26,Friday,12,2014,19,19,32180.0,1693.6842105263158,2769.8637579836477,145.78230305177092,183.6849206942905,-18.164693148230107,8.60740757608343,0.0,1.0,1.0,c,0,1,1,5,8.56783005169308,1
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-05,Friday,12,2014,922,922,949824.0,1030.177874186551,77996.05468280474,84.59441939566675,117.26995823656058,71.60856199904201,8.211632332179935,1.0,0.0,0.0,0,1,0,0,6,8.56783005169308,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-06,Saturday,12,2014,922,922,712997.0,773.3156182212581,57135.21388388838,61.968778615930994,95.13797313926521,-5.193460831690624,8.013387697828795,0.0,0.0,0.0,0,0,0,0,7,8.56783005169308,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-11-29,Saturday,11,2014,922,922,758510.0,822.6789587852495,57029.31008215861,61.85391549041064,94.46087938722629,9.528483905158545,7.518596997028201,0.0,0.0,0.0,0,0,0,0,8,8.56783005169308,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-21,Sunday,12,2014,27,27,40226.0,1489.851851851852,2988.5595234940265,110.68738975903801,132.27911370271934,-55.45650981598364,7.429422571207743,0.0,0.0,0.0,0,0,0,0,9,8.56783005169308,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-23,Tuesday,12,2014,922,922,1114233.0,1208.4956616052061,82140.87642316124,89.0898876606955,127.82533386705227,26.387674209645738,7.3719658655919575,0.0,1.0,0.0,0,0,1,0,10,8.56783005169308,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-25,Thursday,12,2014,16,16,24451.0,1528.1875,1781.846843883845,111.36542774274031,164.06437782768987,57.86714114287653,7.287419098948283,0.0,1.0,1.0,c,0,1,1,11,8.56783005169308,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-12,Friday,12,2014,922,922,703697.0,763.2288503253797,51021.01036793279,55.337321440274174,81.02913479380982,-5.381639444334016,7.250423174737534,0.0,0.0,0.0,0,0,0,0,12,8.56783005169308,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-11-15,Saturday,11,2014,922,922,623757.0,676.5260303687636,45005.90577240509,48.81334682473437,72.8958425496174,14.647417079929273,7.21529470168753,0.0,0.0,0.0,0,0,0,0,13,8.56783005169308,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-12-13,Saturday,12,2014,922,922,722840.0,783.9913232104121,50875.10165433507,55.17906903940897,86.63707074638431,25.74820673571828,7.038224455527513,0.0,0.0,0.0,0,0,0,0,14,8.56783005169308,0
flaml,val,1,7,2014-11-08,2014-12-19,2014-11-22,Saturday,11,2014,922,922,621298.0,673.8590021691974,42548.7315714005,46.14829888438232,76.47330303703623,10.65806695221688,6.848361264868147,0.0,0.0,0.0,0,0,0,0,15,8.56783005169308,0
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-24,Wednesday,12,2014,922,922,493225.0,534.9511930585684,70385.8450179122,76.34039589795249,98.45104580745921,7.778043946288661,14.270534749437317,0.0,1.0,0.0,0,0,1,0,1,9.51501736426562,1
