model,horizon,test_wape,test_mae,test_rmse,test_bias,test_n,val_wape_mean,val_wape_std,val_mae_mean,val_rmse_mean,val_bias_mean,val_n_mean,test_training_time_seconds,rank_test_wape_within_horizon
lightgbm,7,7.087498690563063,51.36137437166762,66.03261969186475,-7.786560547466672,46200.0,11.520270070549023,0.37497098070349205,88.89888541145707,124.79678346470133,-17.191119243013798,46200.0,10.86839771270752,1.0
autogluon,7,7.108811344829529,50.96570341259023,65.91618843968924,-6.750668114186313,46200.0,9.89260253105291,2.472922779601128,77.87822669476371,112.49629599722236,1.4057897217832973,46200.0,1200.3802976000006,2.0
autogluon_quick,7,7.108811344829529,50.96570341259023,65.91618843968924,-6.750668114186313,46200.0,9.763898208398253,2.3418582472655087,76.91337500112827,111.30331078815159,2.4949981125539633,46200.0,300.36401970000225,2.0
xgboost,7,7.217209324856635,51.57420073398852,65.95476297915145,-13.280951794050472,46200.0,10.751956722074473,0.960908482427246,83.5474359139137,120.11895377216753,-13.244992536569569,46200.0,32.73609280586243,3.0
flaml_quick,7,7.435332644325679,53.23267872339186,67.96099431059437,-12.899601911569569,46200.0,10.383267912032494,2.528206984574838,81.499983327969,115.9509775396101,-2.9482103154951105,46200.0,329.31199390000256,4.0
pycaret,7,7.959119816652436,57.11287559724836,72.66317885375022,-18.34556205059564,46200.0,9.974430362947171,0.867785041003769,77.82056301148275,113.12063817375105,0.39862671286969825,46200.0,1992.8403236866,5.0
pycaret_quick,7,7.959119816652436,57.11287559724836,72.66317885375022,-18.34556205059564,46200.0,9.974430362947171,0.867785041003769,77.82056301148275,113.12063817375105,0.39862671286969825,46200.0,556.4262611865997,5.0
flaml,7,8.99982068672302,62.8160134726647,79.47610622297235,-24.229809329175907,46200.0,10.699408221160303,2.6703898607853485,84.42406128396402,119.3974732628874,-4.398641628539477,46200.0,1288.742928300002,6.0
linear_regression,7,10.7715557281671,79.07796732535687,98.63561850565398,-7.455812431371431,46200.0,12.342195118894105,1.196144836295844,98.06018555517367,130.01206895745028,3.6161352511669924,46200.0,3.7861056327819824,7.0
last_value,7,17.97279572651761,127.0652202530748,155.37356491047154,-2.3351515151515154,46200.0,20.53875027463739,6.067479855974908,158.30892920400666,212.00408417229042,28.531486291486292,46200.0,0.0,8.0
autogluon,14,7.175902285635268,52.25115774470969,67.33088387073718,3.2023230787600765,46200.0,10.591046327101294,3.510835643218803,82.61091960145902,111.73621841195904,-1.0824641325185078,46200.0,1200.5461370999983,1.0
autogluon_quick,14,7.175902285635268,52.25115774470969,67.33088387073718,3.2023230787600765,46200.0,10.231331364594793,3.6759829889642774,79.98734706093619,108.18598808559106,0.3434917235189003,46200.0,300.26673140000275,1.0
flaml,14,7.204510241325051,52.56567777114459,67.50632521883941,3.708797019760084,46200.0,10.90612414734577,3.2401793425747516,84.89854176797385,113.59869964143259,-0.6178125378143644,46200.0,1382.603248799991,2.0
pycaret,14,7.392143094777227,53.87998794622177,68.53962485871165,-4.856528390363704,46200.0,9.740295425662127,2.9352783069013113,75.83140747864424,107.29505287774595,6.0274397448831465,46200.0,2101.050665855408,3.0
pycaret_quick,14,7.392143094777227,53.87998794622177,68.53962485871165,-4.856528390363704,46200.0,9.740295425662127,2.9352783069013113,75.83140747864424,107.29505287774595,6.0274397448831465,46200.0,559.7145073413849,3.0
flaml_quick,14,7.403376834870942,53.91586638970438,68.91034670256533,-3.0225839386389013,46200.0,10.63820044673811,3.2997008632642983,82.8640994708491,110.88705466215565,1.003743060096325,46200.0,356.413315400001,4.0
lightgbm,14,7.624479721176054,55.36642510711426,71.09494432587658,-4.979290794621996,46200.0,11.064177551114028,4.56536487057789,83.16942363384071,113.1826806617723,-2.814660821487679,46200.0,11.212692022323608,5.0
xgboost,14,7.632781860967308,55.5773716042537,70.67831757783522,-7.330288474012763,46200.0,11.030401924212958,4.742720497269235,82.44105214014327,112.28136049210558,-0.05344733140513269,46200.0,21.09874129295349,6.0
last_value,14,8.719417019105702,63.84908534357948,81.7647520721302,-4.831558441558442,46200.0,22.292543234585946,10.765181146966674,163.8650107908125,220.89614948942878,27.72880952380952,46200.0,0.0,7.0
linear_regression,14,10.54431482977138,77.65641422108554,95.88020479399168,-6.949344382763998,46200.0,12.497537544840876,2.3033955716822425,98.14504558800758,125.37761172384175,4.671917285623445,46200.0,3.56205153465271,8.0
