model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
pycaret_log,1,test,,macro,54.143980638926415,70.7850238178989,7.540840429590746,-11.1254000127915,46200,810.4373664855957,1100.0,9.647502256726574
pycaret_log,1,test,,micro,54.276310237630106,79.17838570301859,7.340541702427485,-11.125400012791498,46200,810.4373664855957,,
pycaret_log,7,test,,macro,58.06654359207311,73.92286967420898,8.09482936336616,-15.667391806756893,46200,955.9327533245087,1100.0,10.452018483185903
pycaret_log,7,test,,micro,58.24703747367983,84.78170534080584,7.904476034738492,-15.667391806756896,46200,955.9327533245087,,
pycaret_log,14,test,,macro,60.36756254604904,76.24733324935949,8.227690493931751,-2.96435966414465,46200,633.821662902832,1100.0,10.759889767409355
pycaret_log,14,test,,micro,60.67287378669496,90.44349387921147,8.270905853234915,-2.9643596641446504,46200,633.821662902832,,
pycaret_log,1,val,1,macro,69.76124875982053,92.75671265694297,8.363141789563919,2.470180021136992,46200,686.6725645065308,1100.0,10.554687569389777
pycaret_log,1,val,1,micro,69.89345290286643,102.70850200732052,8.205503067887387,2.470180021136992,46200,686.6725645065308,,
pycaret_log,7,val,1,macro,110.52156785059005,164.87505673914924,12.898550747676214,15.89552403031546,46200,848.1934232711792,1100.0,15.409672711398139
pycaret_log,7,val,1,micro,110.86929761286092,181.17604532081504,12.761222737594371,15.89552403031546,46200,848.1934232711792,,
pycaret_log,14,val,1,macro,130.52546051799263,174.81015034746903,16.09790709423112,3.1281200676874215,46200,553.1783592700958,1100.0,19.899523096657997
pycaret_log,14,val,1,micro,135.0995600490617,206.975692223177,15.429157246305389,3.1281200676874223,46200,553.1783592700958,,
pycaret_log,1,val,2,macro,67.32869975759978,91.99826863635643,9.668517658755762,-21.292622394276258,46200,730.2810776233673,1100.0,12.32494887304257
pycaret_log,1,val,2,micro,67.34914362120689,99.65259126465222,9.337115317437657,-21.29262239427626,46200,730.2810776233673,,
pycaret_log,7,val,2,macro,83.41480518459149,110.17229483291332,11.817428985383769,-14.922040643437457,46200,847.8266394138336,1100.0,14.928155071644094
pycaret_log,7,val,2,micro,83.33519922505607,117.22385288233613,11.180234989561434,-14.922040643437457,46200,847.8266394138336,,
pycaret_log,14,val,2,macro,69.58584994598758,93.57008982987333,9.72937473859193,-3.6278941943135723,46200,578.8907763957977,1100.0,12.558739705751936
pycaret_log,14,val,2,micro,69.50974042112394,102.89658694380078,9.467639060207011,-3.627894194313572,46200,578.8907763957977,,
pycaret_log,1,val,3,macro,76.37907141619868,104.65013418250052,9.750013911966239,31.47121396521675,46200,731.8960409164429,1100.0,11.703310540860919
pycaret_log,1,val,3,micro,76.8050843518818,115.06722746369618,9.626685318107043,31.471213965216755,46200,731.8960409164429,,
pycaret_log,7,val,3,macro,95.48130854479378,123.32472358883359,12.734157891612274,6.583276975150438,46200,579.6984260082245,1100.0,16.22661866933713
pycaret_log,7,val,3,micro,96.15746622781552,137.1553080893869,12.35907050425972,6.583276975150439,46200,579.6984260082245,,
pycaret_log,14,val,3,macro,68.5078196662458,88.29265373424472,8.969285737739835,4.029357291656181,46200,571.4010057449341,1100.0,11.375557950054581
pycaret_log,14,val,3,micro,69.02452223999238,101.30060903487411,8.842686836935643,4.029357291656181,46200,571.4010057449341,,
