model,horizon,test_wape,test_mae,test_rmse,test_bias,test_n,val_wape_mean,val_wape_std,val_mae_mean,val_rmse_mean,val_bias_mean,val_n_mean,test_training_time_seconds,rank_test_wape_within_horizon
pycaret,1,7.168887181599914,52.004502464090486,66.65372699072354,-9.470547551021395,46200.0,8.825855859995768,1.1349140915563025,67.96194529771743,91.68238135858844,1.7194330696663584,46200.0,996.7478046417236,1.0
lightgbm,1,7.343486448894828,52.87004361407808,67.28615395894448,-9.93846307806701,46200.0,8.897020974864645,1.048760706578771,68.35790431546467,88.57095565878546,-15.100479623567393,46200.0,20.824724912643436,2.0
flaml_quick,1,7.407651542220671,54.21554155893568,69.14843866048298,-8.25569843712269,46200.0,8.343809817830492,1.319310899438705,64.75695675152878,85.11466154409155,-9.352816962102041,46200.0,328.6463695999992,3.0
xgboost,1,7.528952890695675,54.36775077658995,69.51221759764684,-11.10327475130816,46200.0,8.932281488161989,1.3220434101665741,68.27515803074675,88.59522350030515,-13.173945241435439,46200.0,31.36436438560486,4.0
autogluon,1,7.9821306040132,57.78328700914937,74.33752137874878,-10.600410779537908,46200.0,8.584897749334068,1.406728760129619,66.37615686268056,86.65172435015221,-6.37586815865128,46200.0,1200.714875400001,5.0
autogluon_quick,1,7.9821306040132,57.78328700914937,74.33752137874878,-10.600410779537908,46200.0,8.590390943685499,1.414448080969627,66.42022264694748,86.70223042813359,-6.4120033670591114,46200.0,300.58498220000183,5.0
flaml,1,8.452072482736321,61.87497167140017,78.54679242820227,-3.1192952797955384,46200.0,8.529276086432688,1.6390161735336033,66.09225296553383,86.77371151450832,-11.172107320667358,46200.0,1359.7725304999622,6.0
linear_regression,1,11.11958640543712,80.90367510265199,101.6537808183637,3.4246120748561566,46200.0,12.082814014475026,0.7016840822136704,93.85635606229005,120.26919271367778,1.0944018571810947,46200.0,4.247532606124878,7.0
seasonal_naive,1,28.431730984676072,205.64139875610465,301.52473680998463,97.05253246753249,46200.0,31.32168978889277,6.934594782022985,242.80655009504986,356.7698557923768,110.01172438672438,46200.0,0.0,8.0
last_value,1,28.51640323159906,203.31615978086427,348.58348031529545,83.44625541125541,46200.0,30.919921778893563,4.1737078982006866,236.18103270401426,388.0949842701496,107.48080086580087,46200.0,0.0,9.0
autogluon,7,6.9361575996243,49.95383535998845,64.7237127296958,-1.273990366004795,46200.0,9.885249829195205,2.4650999892099166,77.83045820376776,112.41999784980563,1.4430201576361068,46200.0,1200.7974625999996,1.0
autogluon_quick,7,6.9361575996243,49.95383535998845,64.7237127296958,-1.273990366004795,46200.0,9.741798001958744,2.320594743570355,76.75050371950628,111.09124136025615,2.5440884848033165,46200.0,300.8076215000001,1.0
lightgbm,7,7.087498690563063,51.36137437166762,66.03261969186475,-7.786560547466672,46200.0,11.520270070549023,0.37497098070349205,88.89888541145707,124.79678346470133,-17.191119243013798,46200.0,10.86839771270752,2.0
xgboost,7,7.217209324856635,51.57420073398852,65.95476297915145,-13.280951794050472,46200.0,10.751956722074473,0.960908482427246,83.5474359139137,120.11895377216753,-13.244992536569569,46200.0,32.73609280586243,3.0
flaml_quick,7,7.720222563336613,55.88103789148416,70.60661691970066,-7.431420272158244,46200.0,10.829274019818525,2.596675549647706,85.28828384122079,120.29416652969957,-4.781922615571562,46200.0,331.2263813999998,4.0
pycaret,7,7.959119816652436,57.11287559724836,72.66317885375022,-18.34556205059564,46200.0,9.974430362947171,0.867785041003769,77.82056301148275,113.12063817375105,0.39862671286969825,46200.0,902.7338321208954,5.0
flaml,7,9.018503420042649,64.8309548984764,82.35350422214044,-12.191345813270376,46200.0,10.617680586926339,2.6192969794322534,83.77050208038615,117.77737442141138,1.3980691089436093,46200.0,1294.4031157999998,6.0
linear_regression,7,10.7715557281671,79.07796732535687,98.63561850565398,-7.455812431371431,46200.0,12.342195118894105,1.196144836295844,98.06018555517367,130.01206895745028,3.6161352511669924,46200.0,3.7861056327819824,7.0
last_value,7,17.97279572651761,127.0652202530748,155.37356491047154,-2.3351515151515154,46200.0,20.53875027463739,6.067479855974908,158.30892920400666,212.00408417229042,28.531486291486292,46200.0,0.0,8.0
seasonal_naive,7,17.97279572651761,127.0652202530748,155.37356491047154,-2.3351515151515154,46200.0,20.53875027463739,6.067479855974908,158.30892920400666,212.00408417229042,28.531486291486292,46200.0,0.0,8.0
flaml,14,6.969688944034126,50.77907539446618,65.08845530780341,-2.1067039398162946,46200.0,10.89446262784675,3.4279531251851125,83.3529092327738,112.73285618528045,-0.8909477950393597,46200.0,1453.1019082999555,1.0
autogluon,14,7.075806497606177,51.7719661179228,66.57053236221509,7.9485143318220866,46200.0,10.549603303729315,3.524653333197896,82.31630107358926,111.27758945872255,-0.8399570259976263,46200.0,1200.7119031000038,2.0
autogluon_quick,14,7.183270903123447,52.62813821864702,67.22348451571519,6.118804264376264,46200.0,10.493519677267294,4.039837627980613,81.934255662233,110.85903607902384,2.177677964245733,46200.0,301.8481431,3.0
flaml_quick,14,7.329348192681586,53.70228495060999,69.02009443320485,1.233676412372951,46200.0,10.877563473078915,3.2814969765827957,84.67428048251388,113.35917955518755,-0.7994788958923896,46200.0,348.4265269999996,4.0
pycaret,14,7.392143094777227,53.87998794622177,68.53962485871165,-4.856528390363704,46200.0,9.740295425662127,2.9352783069013113,75.83140747864424,107.29505287774595,6.0274397448831465,46200.0,907.8474102020264,5.0
lightgbm,14,7.624479721176054,55.36642510711426,71.09494432587658,-4.979290794621996,46200.0,11.064177551114028,4.56536487057789,83.16942363384071,113.1826806617723,-2.814660821487679,46200.0,11.212692022323608,6.0
xgboost,14,7.632781860967308,55.5773716042537,70.67831757783522,-7.330288474012763,46200.0,11.030401924212958,4.742720497269235,82.44105214014327,112.28136049210558,-0.05344733140513269,46200.0,21.09874129295349,7.0
last_value,14,8.719417019105702,63.84908534357948,81.7647520721302,-4.831558441558442,46200.0,22.292543234585946,10.765181146966674,163.8650107908125,220.89614948942878,27.72880952380952,46200.0,0.0,8.0
seasonal_naive,14,8.719417019105702,63.84908534357948,81.7647520721302,-4.831558441558442,46200.0,22.292543234585946,10.765181146966674,163.8650107908125,220.89614948942878,27.72880952380952,46200.0,0.0,8.0
linear_regression,14,10.54431482977138,77.65641422108554,95.88020479399168,-6.949344382763998,46200.0,12.497537544840876,2.3033955716822425,98.14504558800758,125.37761172384175,4.671917285623445,46200.0,3.56205153465271,9.0
