artifact_prefix,split,fold,horizon,issue_start,issue_end,target_date,target_day_name,target_month,target_year,open_store_count,open_row_count,target_total_customers,mean_target_customers,total_abs_error,mae,rmse,mean_signed_error,daily_wape,promo_rate_target,schoolholiday_rate_target,stateholiday_rate_target,stateholiday_code,has_promo_heavy_target,has_schoolholiday_signal,has_stateholiday_signal,daily_wape_rank,daily_wape_p90_cutoff,is_top_decile_spike
autogluon,test,,7,2015-06-06,2015-07-17,2015-07-18,Saturday,7,2015,1098,1098,690676.0,629.0309653916212,53959.6277391866,49.143558961007834,68.89315361213373,38.26024675198352,7.812581838544644,0.0,0.0,0.0,0,0,0,0,11,9.547791189051518,0
autogluon,test,,7,2015-06-06,2015-07-17,2015-07-11,Saturday,7,2015,1098,1098,680679.0,619.9262295081967,51433.606628138514,46.84299328610065,69.74554692654807,-21.940850625391416,7.556220572125556,0.0,0.0,0.0,0,0,0,0,12,9.547791189051518,0
autogluon,test,,7,2015-06-06,2015-07-17,2015-06-28,Sunday,6,2015,32,32,44422.0,1388.1875,3324.844587086954,103.90139334646732,139.46637600446095,80.97945437006666,7.484680084388263,0.0,0.0,0.0,0,0,0,0,13,9.547791189051518,0
autogluon,test,,7,2015-06-06,2015-07-17,2015-07-01,Wednesday,7,2015,1100,1100,882875.0,802.6136363636364,63738.56129449887,57.94414663136261,87.17391908361978,-20.118480586661807,7.219432116041213,1.0,0.25727272727272726,0.0,0,1,1,0,14,9.547791189051518,0
autogluon,test,,7,2015-06-06,2015-07-17,2015-07-07,Tuesday,7,2015,1099,1099,734235.0,668.0937215650591,52866.760029229634,48.104422228598395,71.79801664371921,17.65585301755088,7.2002506049465955,0.0,0.2575068243858053,0.0,0,0,1,0,15,9.547791189051518,0
autogluon,test,,14,2015-06-06,2015-07-17,2015-06-22,Monday,6,2015,1099,1099,744095.0,677.0655141037307,97777.5237692787,88.96953937150019,121.2639160493778,-81.30290833952358,13.140462409944792,0.0,0.0,0.0,0,0,0,0,1,9.562556639330914,1
autogluon,test,,14,2015-06-06,2015-07-17,2015-07-31,Friday,7,2015,1098,1098,956007.0,870.6803278688525,112714.55462688663,102.65442133596233,128.95514566988,97.24401248622195,11.790139049911415,1.0,0.8378870673952641,0.0,0,1,1,0,2,9.562556639330914,1
autogluon,test,,14,2015-06-06,2015-07-17,2015-06-30,Tuesday,6,2015,1100,1100,1015790.0,923.4454545454546,118276.70311489966,107.52427555899969,143.30737628101798,101.56672145550607,11.643814480837541,1.0,0.25727272727272726,0.0,0,1,1,0,3,9.562556639330914,1
autogluon,test,,14,2015-06-06,2015-07-17,2015-07-25,Saturday,7,2015,1098,1098,634961.0,578.2887067395264,63296.52131062211,57.647105018781524,83.27614639903844,-2.65934567799442,9.968568354689832,0.0,0.020036429872495445,0.0,0,0,1,0,4,9.562556639330914,1
autogluon,test,,14,2015-06-06,2015-07-17,2015-07-04,Saturday,7,2015,1099,1099,659636.0,600.2147406733394,63260.96441039363,57.5622970067276,93.55225839077603,-27.322833776502332,9.59028379445537,0.0,0.0,0.0,0,0,0,0,5,9.562556639330914,1
autogluon,test,,14,2015-06-06,2015-07-17,2015-07-30,Thursday,7,2015,1098,1098,847481.0,771.8406193078324,78926.00928888547,71.88161137421264,98.54487519151307,-56.81230471877126,9.313012243210817,1.0,0.8378870673952641,0.0,0,1,1,0,6,9.562556639330914,0
autogluon,test,,14,2015-06-06,2015-07-17,2015-06-20,Saturday,6,2015,1099,1099,690765.0,628.5395814376706,57812.151553578544,52.604323524639256,69.66656459333396,-42.22124297722035,8.369293689399223,0.0,0.0,0.0,0,0,0,0,7,9.562556639330914,0
autogluon,test,,14,2015-06-06,2015-07-17,2015-07-05,Sunday,7,2015,33,33,47757.0,1447.1818181818182,3942.5584681225605,119.47146873098669,167.46983448198114,54.97717519660131,8.255456724925269,0.0,0.0,0.0,0,0,0,0,8,9.562556639330914,0
autogluon,test,,14,2015-06-06,2015-07-17,2015-07-06,Monday,7,2015,1099,1099,836991.0,761.5932666060055,67948.85044046541,61.82788939077835,87.51732049867859,54.661933455360234,8.118229519847334,0.0,0.2575068243858053,0.0,0,0,1,0,9,9.562556639330914,0
autogluon,test,,14,2015-06-06,2015-07-17,2015-07-22,Wednesday,7,2015,1098,1098,701078.0,638.5045537340619,55564.9245245939,50.60557789125128,68.18325732575789,-30.526814818022427,7.925640873710757,0.0,0.6165755919854281,0.0,0,0,1,0,10,9.562556639330914,0
