artifact_prefix,split,fold,horizon,target_date,target_day_name,daily_wape,total_abs_error,target_total_customers,mean_signed_error,promo_rate_target,schoolholiday_rate_target,stateholiday_code
autogluon,test,,1,2015-07-13,Monday,5.797564123104001,57492.58818830299,991668.0,-2.733144004172701,1.0,0.40528233151183973,0
autogluon,test,,1,2015-07-14,Tuesday,7.616608007953597,68569.96074712377,900269.0,42.52140605786291,1.0,0.40528233151183973,0
autogluon,test,,1,2015-07-15,Wednesday,8.16963946496354,70978.72633194437,868811.0,44.33483788947048,1.0,0.40528233151183973,0
autogluon,test,,1,2015-07-16,Thursday,9.299835115478473,79742.08718612824,857457.0,44.45745345309586,1.0,0.5132178669097539,0
autogluon,test,,1,2015-07-17,Friday,5.630099554130697,46341.01162407652,823094.0,7.887165569265985,1.0,0.5132178669097539,0
autogluon,test,,1,2015-07-18,Saturday,7.64921822242773,52831.314449934944,690676.0,35.040412787834335,0.0,0.0,0
autogluon,test,,7,2015-06-13,Saturday,11.19006984177621,77918.35862016086,696317.0,-61.12503783511595,0.0,0.0,0
autogluon,test,,7,2015-06-14,Sunday,5.997395860966714,2715.0810802182414,45271.0,33.57736133676584,0.0,0.0,0
autogluon,test,,7,2015-06-15,Monday,5.869217432418637,61359.08803330307,1045439.0,23.51787244944653,1.0,0.0,0
autogluon,test,,7,2015-06-16,Tuesday,4.529345533745681,41971.95037719509,926667.0,6.26848381259125,1.0,0.0,0
autogluon,test,,7,2015-06-17,Wednesday,9.596871709251662,82383.48146961705,858441.0,-71.45300214203276,1.0,0.0,0
autogluon,test,,7,2015-06-18,Thursday,8.130699104147828,67442.5229290854,829480.0,-52.83389974505393,1.0,0.0,0
autogluon,test,,7,2015-06-19,Friday,12.803564109289653,110066.47904371397,859655.0,-97.60697726318233,1.0,0.0,0
autogluon,test,,7,2015-06-20,Saturday,6.574692324523198,45415.673435492674,690765.0,-10.474657383671031,0.0,0.0,0
autogluon,test,,7,2015-06-21,Sunday,5.437875181420653,2291.466222698849,42139.0,36.69575556223201,0.0,0.0,0
autogluon,test,,7,2015-06-22,Monday,8.262779803291547,61482.93137730223,744095.0,-43.2437284519895,0.0,0.0,0
autogluon,test,,7,2015-06-23,Tuesday,5.631300916122806,40757.55401460371,723768.0,7.090469179044262,0.0,0.0,0
autogluon,test,,7,2015-06-24,Wednesday,5.04646574544034,36442.951451382505,722148.0,-4.836426749244307,0.0,0.0,0
autogluon,test,,7,2015-06-25,Thursday,6.417646858872368,46404.592554197145,723078.0,-25.106005057667513,0.0,0.0,0
autogluon,test,,7,2015-06-26,Friday,5.917398363616566,44441.732800187674,751035.0,-23.892763485608317,0.0,0.0,0
autogluon,test,,7,2015-06-27,Saturday,6.032694048373013,41587.763942090496,689373.0,-4.392906717322349,0.0,0.0,0
autogluon,test,,7,2015-06-28,Sunday,7.484680084388263,3324.844587086954,44422.0,80.97945437006666,0.0,0.0,0
autogluon,test,,7,2015-06-29,Monday,4.777071536272838,49448.18403269059,1035115.0,5.881562507932211,1.0,0.25727272727272726,0
autogluon,test,,7,2015-06-30,Tuesday,12.376426707479405,125718.50485190506,1015790.0,109.4764115155386,1.0,0.25727272727272726,0
autogluon,test,,7,2015-07-01,Wednesday,7.219432116041213,63738.56129449887,882875.0,-20.118480586661807,1.0,0.25727272727272726,0
autogluon,test,,7,2015-07-02,Thursday,9.106066507250224,77724.01112664863,853541.0,-51.338859701663736,1.0,0.2575068243858053,0
autogluon,test,,7,2015-07-03,Friday,6.828119634529921,58983.07271417443,863826.0,31.650298338357047,1.0,0.2575068243858053,0
autogluon,test,,7,2015-07-04,Saturday,11.768029733136029,77626.16061046917,659636.0,-46.158053273416606,0.0,0.0,0
autogluon,test,,7,2015-07-05,Sunday,8.613733395727765,4113.660657797709,47757.0,44.529610638142884,0.0,0.0,0
autogluon,test,,7,2015-07-06,Monday,5.5465887265125025,46424.44844792426,836991.0,20.63193078763673,0.0,0.2575068243858053,0
autogluon,test,,7,2015-07-07,Tuesday,7.2002506049465955,52866.760029229634,734235.0,17.65585301755088,0.0,0.2575068243858053,0
autogluon,test,,7,2015-07-08,Wednesday,5.393423150576111,41065.03846040296,761391.0,11.973487814615291,0.0,0.2575068243858053,0
autogluon,test,,7,2015-07-09,Thursday,5.096428569457699,39430.40530618019,773687.0,-7.885182383182776,0.0,0.2575068243858053,0
autogluon,test,,7,2015-07-10,Friday,4.628768038760304,36498.43772547004,788513.0,14.080665752196467,0.0,0.2575068243858053,0
autogluon,test,,7,2015-07-11,Saturday,7.556220572125556,51433.606628138514,680679.0,-21.940850625391416,0.0,0.0,0
autogluon,test,,7,2015-07-12,Sunday,4.359704221086547,1978.9569400356056,45392.0,-31.519819738897443,0.0,0.0,0
autogluon,test,,7,2015-07-13,Monday,6.426206930640485,63726.63774494388,991668.0,31.88086690421669,1.0,0.40528233151183973,0
autogluon,test,,7,2015-07-14,Tuesday,5.84060240345073,52581.132851521856,900269.0,-12.919557588414403,1.0,0.40528233151183973,0
autogluon,test,,7,2015-07-15,Wednesday,5.300532491508976,46051.60934480405,868811.0,-8.66628752853651,1.0,0.40528233151183973,0
autogluon,test,,7,2015-07-16,Thursday,5.672935456545567,48642.98217763192,857457.0,-2.4570029010238916,1.0,0.5132178669097539,0
autogluon,test,,7,2015-07-17,Friday,6.082874075221128,50067.771540700596,823094.0,-26.042897157098096,1.0,0.5132178669097539,0
autogluon,test,,7,2015-07-18,Saturday,7.812581838544644,53959.6277391866,690676.0,38.26024675198352,0.0,0.0,0
autogluon,test,,7,2015-07-19,Sunday,5.892359221135375,2828.6270441060365,48005.0,55.06602974362152,0.0,0.0,0
autogluon,test,,7,2015-07-20,Monday,6.047666297654584,49101.36553063543,811906.0,33.25383334838926,0.0,0.6165755919854281,0
autogluon,test,,7,2015-07-21,Tuesday,4.869415933844655,35528.13514819869,729618.0,-2.0647378799913394,0.0,0.6165755919854281,0
autogluon,test,,7,2015-07-22,Wednesday,8.51559025982118,59700.92988174912,701078.0,-41.27723852261553,0.0,0.6165755919854281,0
autogluon,test,,7,2015-07-23,Thursday,4.930727956050012,37028.58357522614,750976.0,0.15374090985527922,0.0,0.6366120218579235,0
autogluon,test,,7,2015-07-24,Friday,4.826569427652808,35943.26946495336,744696.0,-6.257308366315775,0.0,0.6366120218579235,0
autogluon,test,,14,2015-06-20,Saturday,8.369293689399223,57812.151553578544,690765.0,-42.22124297722035,0.0,0.0,0
autogluon,test,,14,2015-06-21,Sunday,6.114295980854398,2576.5031833722346,42139.0,-39.685838640553925,0.0,0.0,0
autogluon,test,,14,2015-06-22,Monday,13.140462409944792,97777.5237692787,744095.0,-81.30290833952358,0.0,0.0,0
autogluon,test,,14,2015-06-23,Tuesday,7.216416468992194,52230.11314929542,723768.0,-24.46862580523682,0.0,0.0,0
autogluon,test,,14,2015-06-24,Wednesday,5.71254760140147,41253.04825256868,722148.0,17.432648391953723,0.0,0.0,0
autogluon,test,,14,2015-06-25,Thursday,5.49400677144813,39725.95428285171,723078.0,-2.3064398501759835,0.0,0.0,0
autogluon,test,,14,2015-06-26,Friday,7.28067479451099,54680.41594295561,751035.0,-34.81195717551118,0.0,0.0,0
autogluon,test,,14,2015-06-27,Saturday,7.2120366324511895,49717.833294227734,689373.0,-21.76890041346178,0.0,0.0,0
autogluon,test,,14,2015-06-28,Sunday,5.561180186907013,2470.3874626278334,44422.0,24.87918522432488,0.0,0.0,0
autogluon,test,,14,2015-06-29,Monday,5.448436702225731,56397.58557024388,1035115.0,1.5592062035913639,1.0,0.25727272727272726,0
autogluon,test,,14,2015-06-30,Tuesday,11.643814480837541,118276.70311489966,1015790.0,101.56672145550607,1.0,0.25727272727272726,0
autogluon,test,,14,2015-07-01,Wednesday,7.009288114798197,61883.25244352458,882875.0,-3.259348608476396,1.0,0.25727272727272726,0
autogluon,test,,14,2015-07-02,Thursday,6.753730560412453,57645.85936265006,853541.0,-11.661538187321057,1.0,0.2575068243858053,0
autogluon,test,,14,2015-07-03,Friday,6.634314948613581,57308.93744801076,863826.0,10.350833521826749,1.0,0.2575068243858053,0
autogluon,test,,14,2015-07-04,Saturday,9.59028379445537,63260.96441039363,659636.0,-27.322833776502332,0.0,0.0,0
autogluon,test,,14,2015-07-05,Sunday,8.255456724925269,3942.5584681225605,47757.0,54.97717519660131,0.0,0.0,0
autogluon,test,,14,2015-07-06,Monday,8.118229519847334,67948.85044046541,836991.0,54.661933455360234,0.0,0.2575068243858053,0
autogluon,test,,14,2015-07-07,Tuesday,7.397169645439204,54312.60854619054,734235.0,17.910142494913543,0.0,0.2575068243858053,0
autogluon,test,,14,2015-07-08,Wednesday,5.791467156561178,44095.70969801272,761391.0,21.895131939645605,0.0,0.2575068243858053,0
autogluon,test,,14,2015-07-09,Thursday,5.207088738682152,40286.56864964778,773687.0,-5.070577491962137,0.0,0.2575068243858053,0
autogluon,test,,14,2015-07-10,Friday,5.258168845754797,41461.344910726526,788513.0,16.703021906105462,0.0,0.2575068243858053,0
autogluon,test,,14,2015-07-11,Saturday,6.9988341316472695,47639.59417895532,680679.0,-8.497395983428785,0.0,0.0,0
autogluon,test,,14,2015-07-12,Sunday,4.975012450852331,2258.25765169089,45392.0,-34.06277382406567,0.0,0.0,0
autogluon,test,,14,2015-07-13,Monday,5.360069367492535,53154.092695225874,991668.0,3.0991907554835865,1.0,0.40528233151183973,0
autogluon,test,,14,2015-07-14,Tuesday,5.3819639397224295,48452.15294049972,900269.0,21.36533616642406,1.0,0.40528233151183973,0
autogluon,test,,14,2015-07-15,Wednesday,5.118321707896872,44468.54201359589,868811.0,16.303924764612702,1.0,0.40528233151183973,0
autogluon,test,,14,2015-07-16,Thursday,5.928787239965347,50836.801204189665,857457.0,24.694080916352323,1.0,0.5132178669097539,0
autogluon,test,,14,2015-07-17,Friday,5.587251424305309,45988.331238371546,823094.0,13.95327202892368,1.0,0.5132178669097539,0
autogluon,test,,14,2015-07-18,Saturday,7.148084569533472,49370.104581471,690676.0,25.977012473983446,0.0,0.0,0
autogluon,test,,14,2015-07-19,Sunday,6.161041029384137,2957.607746155855,48005.0,55.004854634667986,0.0,0.0,0
autogluon,test,,14,2015-07-20,Monday,7.1121861563889635,57744.266134891375,811906.0,41.44052671632198,0.0,0.6165755919854281,0
autogluon,test,,14,2015-07-21,Tuesday,6.022394743930862,43940.47608277348,729618.0,-14.59479492750881,0.0,0.6165755919854281,0
autogluon,test,,14,2015-07-22,Wednesday,7.925640873710757,55564.9245245939,701078.0,-30.526814818022427,0.0,0.6165755919854281,0
autogluon,test,,14,2015-07-23,Thursday,5.532396161281959,41546.9673961488,750976.0,6.854406422699438,0.0,0.6366120218579235,0
autogluon,test,,14,2015-07-24,Friday,5.264368400868734,39203.540906533424,744696.0,-0.7941769264160358,0.0,0.6366120218579235,0
autogluon,test,,14,2015-07-25,Saturday,9.968568354689832,63296.52131062211,634961.0,-2.65934567799442,0.0,0.020036429872495445,0
autogluon,test,,14,2015-07-26,Sunday,6.5272293712473655,3067.145081549137,46990.0,-24.123052352035742,0.0,0.03125,0
autogluon,test,,14,2015-07-27,Monday,6.9520028470476545,66561.74269897236,957447.0,40.98562102822069,1.0,0.773224043715847,0
autogluon,test,,14,2015-07-28,Tuesday,5.932320850586665,51286.04089428333,864519.0,-0.06785700160694759,1.0,0.773224043715847,0
